desc,type,node,capacity_2030,capacity_2040,expand_2030,expand_2040,pmin,allow_curtailment,fuelcost,fuelcost_ref,pavg,inflow_fac,inflow_ref,cost_scaling,p_maxNew,storage_cap,storage_price,storage_ini,storval_filling_ref,storval_time_ref,pump_cap,pump_efficiency,pump_deadband
NO_bio,bio,NO_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
NO_gas,gas,NO_main,0.0,0.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
NO_hydro,hydro,NO_main,33361.0,-140.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
NO_oil,oil,NO_main,0.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
NO_other_non_res,other_non_res,NO_main,265.0,0.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
NO_other_res,other_res,NO_main,0.0,0.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
NO_solar,solar,NO_main,333.0,0.0,0,0,0,1,1,fuel_solar,0,1,solar_NO,1,0,0,,,,,,,
NO_wind,wind,NO_wind,2643.0,725.0,0,0,0,1,1,fuel_wind,0,1,wind_NO,1,0,0,,,,,,,
NO_onshore_wind,onshore_wind,NO_main,9457.0,3105.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_NO,1,0,0,,,,,,,
NO_hard_coal,hard_coal,NO_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
NO_nuclear,nuclear,NO_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
DK_bio,bio,DK_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
DK_gas,gas,DK_main,1324.0,-726.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
DK_hydro,hydro,DK_main,0.0,0.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
DK_oil,oil,DK_main,811.0,-14.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
DK_other_non_res,other_non_res,DK_main,61.0,-14.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
DK_other_res,other_res,DK_main,2506.0,-783.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
DK_solar,solar,DK_main,6225.0,3140.0,0,0,0,1,1,fuel_solar,0,1,solar_DK,1,0,0,,,,,,,
DK_wind,wind,DK_wind,15254.0,11839.0,0,0,0,1,1,fuel_wind,0,1,wind_DK,1,0,0,,,,,,,
DK_onshore_wind,onshore_wind,DK_main,5526.0,751.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_DK,1,0,0,,,,,,,
DK_hard_coal,hard_coal,DK_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
DK_nuclear,nuclear,DK_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
DE_bio,bio,DE_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
DE_gas,gas,DE_main,26318.0,2439.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
DE_hydro,hydro,DE_main,15055.0,270.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
DE_oil,oil,DE_main,851.0,-214.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
DE_other_non_res,other_non_res,DE_main,8699.0,-134.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
DE_other_res,other_res,DE_main,7570.0,1087.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
DE_solar,solar,DE_main,67298.0,65751.0,0,0,0,1,1,fuel_solar,0,1,solar_DE,1,0,0,,,,,,,
DE_wind,wind,DE_wind,36532.0,23411.0,0,0,0,1,1,fuel_wind,0,1,wind_DE,1,0,0,,,,,,,
DE_onshore_wind,onshore_wind,DE_main,79793.0,32728.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_DE,1,0,0,,,,,,,
DE_hard_coal,hard_coal,DE_main,9031.0,-9031.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
DE_nuclear,nuclear,DE_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
NL_bio,bio,NL_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
NL_gas,gas,NL_main,12304.0,10325.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
NL_hydro,hydro,NL_main,38.0,0.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
NL_oil,oil,NL_main,0.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
NL_other_non_res,other_non_res,NL_main,1797.0,-880.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
NL_other_res,other_res,NL_main,3900.0,-3300.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
NL_solar,solar,NL_main,47181.0,16819.0,0,0,0,1,1,fuel_solar,0,1,solar_NL,1,0,0,,,,,,,
NL_wind,wind,NL_wind_1,9500.0,15500.0,0,0,0,1,1,fuel_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_wind,wind,NL_wind_2,9500.0,15500.0,0,0,0,1,1,fuel_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_onshore_wind,onshore_wind,NL_main,8878.0,4943.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_hard_coal,hard_coal,NL_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
NL_nuclear,nuclear,NL_main,486.0,-486.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
BE_bio,bio,BE_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
BE_gas,gas,BE_main,8731.0,-44.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
BE_hydro,hydro,BE_main,1372.0,3.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
BE_oil,oil,BE_main,158.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
BE_other_non_res,other_non_res,BE_main,819.0,-177.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
BE_other_res,other_res,BE_main,904.0,0.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
BE_solar,solar,BE_main,15566.0,8344.0,0,0,0,1,1,fuel_solar,0,1,solar_BE,1,0,0,,,,,,,
BE_wind,wind,BE_wind,5345.0,570.0,0,0,0,1,1,fuel_wind,0,1,wind_BE,1,0,0,,,,,,,
BE_onshore_wind,onshore_wind,BE_main,4910.0,2936.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_BE,1,0,0,,,,,,,
BE_hard_coal,hard_coal,BE_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
BE_nuclear,nuclear,BE_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
UK_bio,bio,UK_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
UK_gas,gas,UK_main,21782.0,2631.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
UK_hydro,hydro,UK_main,4845.0,196.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
